Index,Nombre,ISO3,ISO2,Año,Tipo,Pob Total (k),Densidad (xkm2),Sexo (h x 100 m),Mediana Edad,Cambio Natural (x1000),Natalidad (x1000),Nacimientos por mujer,Mediana edad alumbramiento,Mortalidad (x1000),Esperanza Vida al nacer,Mortalidad <5 (x1000 nac),Migracion(x1000),Mortalidad <40 (x1000 nac),Mortalidad <60 (x1000 nac)
49,WORLD,,,1998,World,5987312.48,45.914,101.028,24.777,13.45,22.095,2.758,27.25,8.645,65.722,81.359,0.0,148.561,264.889
50,WORLD,,,1999,World,6067758.458,46.531,101.057,25.018,13.245,21.814,2.73,27.285,8.569,66.073,78.325,0.0,144.257,260.013
51,WORLD,,,2000,World,6148898.975,47.153,101.089,25.25,13.321,21.793,2.734,27.317,8.472,66.453,75.578,0.0,140.458,255.384
52,WORLD,,,2001,World,6230746.982,47.781,101.113,25.47,13.126,21.487,2.7,27.332,8.361,66.834,73.13,0.0,137.4,251.095
53,WORLD,,,2002,World,6312407.36,48.407,101.126,25.679,12.917,21.231,2.672,27.368,8.314,67.137,70.596,0.0,134.189,246.999
54,WORLD,,,2003,World,6393898.365,49.032,101.138,25.882,12.737,21.004,2.647,27.392,8.267,67.46,67.83,0.0,130.799,242.841
55,WORLD,,,2004,World,6475751.478,49.659,101.149,26.08,12.702,20.881,2.636,27.458,8.179,67.807,65.5,0.0,128.394,239.322
56,WORLD,,,2005,World,6558176.119,50.291,101.162,26.273,12.592,20.706,2.619,27.556,8.114,68.205,62.729,0.0,124.106,233.704
57,WORLD,,,2006,World,6641416.218,50.93,101.181,26.47,12.631,20.613,2.612,27.629,7.982,68.703,60.009,0.0,119.832,227.547
58,WORLD,,,2007,World,6725948.544,51.578,101.205,26.675,12.662,20.599,2.612,27.662,7.937,69.051,57.526,0.0,116.386,223.047
59,WORLD,,,2008,World,6811597.272,52.235,101.226,26.886,12.643,20.575,2.613,27.69,7.932,69.301,55.392,0.0,113.994,220.258
60,WORLD,,,2009,World,6898305.908,52.9,101.239,27.102,12.653,20.468,2.605,27.726,7.815,69.796,52.906,0.0,109.418,213.89
61,WORLD,,,2010,World,6985603.105,53.569,101.245,27.327,12.497,20.274,2.587,27.728,7.777,70.109,51.068,0.0,106.586,209.895
62,WORLD,,,2011,World,7073125.425,54.24,101.254,27.554,12.404,20.094,2.573,27.741,7.69,70.53,49.042,0.0,102.753,204.681
63,WORLD,,,2012,World,7161697.921,54.92,101.269,27.775,12.482,20.132,2.59,27.759,7.65,70.873,47.074,0.0,99.673,200.544
64,WORLD,,,2013,World,7250593.37,55.601,101.283,27.993,12.19,19.781,2.56,27.779,7.591,71.207,45.597,0.0,96.84,196.763
65,WORLD,,,2014,World,7339013.419,56.279,101.295,28.22,12.052,19.576,2.553,27.854,7.524,71.565,43.935,0.0,94.039,192.907
66,WORLD,,,2015,World,7426597.537,56.951,101.307,28.456,11.677,19.203,2.524,27.989,7.526,71.8,42.626,0.0,91.838,190.002
67,WORLD,,,2016,World,7513474.238,57.617,101.305,28.699,11.584,19.064,2.526,28.131,7.48,72.11,41.167,0.0,89.569,186.921
68,WORLD,,,2017,World,7599822.404,58.279,101.29,28.947,11.271,18.767,2.504,28.174,7.496,72.327,39.841,0.0,87.51,184.066
69,WORLD,,,2018,World,7683789.828,58.923,101.27,29.204,10.709,18.174,2.443,28.209,7.465,72.576,39.097,0.0,85.964,181.199
70,WORLD,,,2019,World,7764951.032,59.546,101.24,29.469,10.309,17.771,2.406,28.236,7.462,72.79,38.316,0.0,84.539,178.64
71,WORLD,,,2020,World,7840952.88,60.128,101.187,29.736,9.179,17.237,2.349,28.226,8.058,72.036,37.645,0.0,83.691,185.65
72,WORLD,,,2021,World,7909295.151,60.653,101.119,29.996,8.184,16.94,2.321,28.213,8.756,71.048,37.117,0.0,86.587,198.763
74,Sub-Saharan Africa,,,1950,SDG region,177491.856,8.118,98.786,17.983,20.631,47.139,6.499,29.705,26.508,37.477,315.772,-0.026,504.732,661.661
75,Sub-Saharan Africa,,,1951,SDG region,181206.691,8.288,98.762,17.971,20.949,47.232,6.507,29.712,26.283,37.728,312.606,-0.14,501.238,658.594
76,Sub-Saharan Africa,,,1952,SDG region,185025.405,8.462,98.742,17.952,21.273,47.252,6.507,29.715,25.979,38.043,308.144,-0.386,496.881,654.989
77,Sub-Saharan Africa,,,1953,SDG region,188925.019,8.641,98.727,17.918,21.715,47.31,6.517,29.717,25.595,38.456,303.391,-0.909,491.09,649.74
78,Sub-Saharan Africa,,,1954,SDG region,192937.718,8.824,98.718,17.873,22.038,47.275,6.522,29.723,25.237,38.842,298.495,-0.841,485.646,645.052
79,Sub-Saharan Africa,,,1955,SDG region,197106.585,9.015,98.715,17.825,22.42,47.273,6.533,29.728,24.853,39.261,293.717,-0.894,479.777,639.634
80,Sub-Saharan Africa,,,1956,SDG region,201431.278,9.213,98.716,17.773,22.768,47.303,6.548,29.724,24.535,39.613,289.258,-0.918,474.834,635.346
81,Sub-Saharan Africa,,,1957,SDG region,205850.721,9.415,98.716,17.718,22.496,47.346,6.564,29.717,24.85,39.276,292.062,-0.964,479.059,640.195
82,Sub-Saharan Africa,,,1958,SDG region,210308.726,9.619,98.718,17.651,22.811,47.363,6.574,29.697,24.552,39.58,287.669,-1.524,474.991,636.789
83,Sub-Saharan Africa,,,1959,SDG region,215031.514,9.835,98.722,17.577,23.768,47.354,6.589,29.676,23.586,40.655,276.38,-0.693,460.532,622.396
84,Sub-Saharan Africa,,,1960,SDG region,220107.337,10.067,98.712,17.511,23.968,47.384,6.602,29.655,23.416,40.832,272.329,-0.412,458.779,621.594
85,Sub-Saharan Africa,,,1961,SDG region,225420.539,10.31,98.682,17.447,24.321,47.487,6.619,29.634,23.166,41.128,268.741,-0.198,454.873,617.934
86,Sub-Saharan Africa,,,1962,SDG region,230968.181,10.563,98.659,17.384,24.755,47.554,6.638,29.621,22.799,41.605,265.141,-0.275,447.453,610.27
87,Sub-Saharan Africa,,,1963,SDG region,236727.175,10.827,98.649,17.323,24.993,47.553,6.65,29.617,22.56,41.89,261.588,-0.239,443.556,606.883
88,Sub-Saharan Africa,,,1964,SDG region,242720.424,11.101,98.638,17.266,25.269,47.536,6.662,29.613,22.267,42.241,258.05,-0.043,438.634,602.135
89,Sub-Saharan Africa,,,1965,SDG region,248944.035,11.386,98.629,17.21,25.44,47.529,6.674,29.603,22.089,42.448,255.577,-0.047,435.839,599.584
90,Sub-Saharan Africa,,,1966,SDG region,255334.04,11.678,98.626,17.141,25.43,47.52,6.688,29.606,22.09,42.442,255.192,-0.147,435.765,599.956
91,Sub-Saharan Africa,,,1967,SDG region,261923.406,11.979,98.621,17.052,25.623,47.51,6.702,29.608,21.887,42.634,251.138,0.034,433.85,598.889
92,Sub-Saharan Africa,,,1968,SDG region,268785.246,12.293,98.613,16.966,25.997,47.504,6.716,29.613,21.507,43.1,247.745,0.05,427.606,591.746
93,Sub-Saharan Africa,,,1969,SDG region,275891.039,12.618,98.608,16.89,26.212,47.521,6.728,29.594,21.309,43.338,245.213,-0.088,424.417,588.551
94,Sub-Saharan Africa,,,1970,SDG region,283259.699,12.955,98.602,16.816,26.547,47.483,6.738,29.6,20.936,43.822,241.989,0.024,417.127,580.677
95,Sub-Saharan Africa,,,1971,SDG region,290854.308,13.302,98.631,16.743,26.922,47.516,6.759,29.598,20.594,44.246,238.059,-0.594,411.2,574.59
96,Sub-Saharan Africa,,,1972,SDG region,298609.974,13.657,98.694,16.669,26.889,47.449,6.773,29.608,20.56,44.232,235.871,-0.613,412.142,576.014
97,Sub-Saharan Africa,,,1973,SDG region,306720.166,14.028,98.761,16.604,27.356,47.347,6.782,29.622,19.991,44.98,230.915,-0.073,401.413,564.089
98,Sub-Saharan Africa,,,1974,SDG region,315262.482,14.419,98.831,16.549,27.492,47.34,6.79,29.598,19.848,45.175,229.819,0.146,398.151,560.972
99,Sub-Saharan Africa,,,1975,SDG region,324105.705,14.823,98.889,16.496,27.777,47.31,6.798,29.599,19.533,45.563,225.768,-0.102,393.137,555.785
100,Sub-Saharan Africa,,,1976,SDG region,333192.588,15.239,98.924,16.442,28.245,47.195,6.797,29.61,18.95,46.304,218.93,-0.643,383.722,545.557
101,Sub-Saharan Africa,,,1977,SDG region,342404.126,15.66,98.944,16.397,28.534,47.139,6.802,29.626,18.605,46.769,215.081,-1.631,377.553,538.804
102,Sub-Saharan Africa,,,1978,SDG region,352245.934,16.11,98.938,16.365,28.722,47.083,6.805,29.663,18.361,47.09,211.649,0.988,373.231,534.668
103,Sub-Saharan Africa,,,1979,SDG region,362698.051,16.588,98.929,16.334,28.992,47.016,6.791,29.655,18.024,47.559,207.452,-0.211,366.69,527.913
104,Sub-Saharan Africa,,,1980,SDG region,373045.159,17.061,99.027,16.302,29.076,46.865,6.77,29.659,17.789,47.869,204.38,-1.622,362.54,523.622
105,Sub-Saharan Africa,,,1981,SDG region,383809.698,17.554,99.044,16.262,29.163,46.689,6.746,29.666,17.526,48.18,201.576,0.216,358.292,519.124
106,Sub-Saharan Africa,,,1982,SDG region,395262.3,18.078,98.889,16.218,29.219,46.533,6.718,29.666,17.314,48.417,198.222,0.197,354.997,516.567
107,Sub-Saharan Africa,,,1983,SDG region,406623.763,18.597,98.69,16.18,28.597,46.472,6.689,29.655,17.875,47.615,204.64,-1.336,364.992,528.433
108,Sub-Saharan Africa,,,1984,SDG region,418141.335,19.124,98.452,16.146,28.57,46.331,6.649,29.643,17.761,47.674,201.803,-0.02,364.574,529.332
109,Sub-Saharan Africa,,,1985,SDG region,430321.014,19.681,98.175,16.116,28.645,46.152,6.599,29.626,17.507,47.959,198.487,0.212,360.579,525.97
110,Sub-Saharan Africa,,,1986,SDG region,442996.276,20.261,98.045,16.099,28.617,45.926,6.55,29.651,17.309,48.162,195.473,0.577,357.826,524.002
111,Sub-Saharan Africa,,,1987,SDG region,456194.222,20.864,98.087,16.094,28.918,45.647,6.506,29.656,16.729,48.833,186.432,0.599,349.994,517.018
112,Sub-Saharan Africa,,,1988,SDG region,469537.97,21.475,98.117,16.098,28.318,45.212,6.447,29.691,16.894,48.617,190.934,-0.162,351.03,518.665
113,Sub-Saharan Africa,,,1989,SDG region,483086.291,22.094,98.144,16.109,28.575,44.873,6.383,29.672,16.298,49.315,182.404,0.14,342.389,510.65
114,Sub-Saharan Africa,,,1990,SDG region,496907.297,22.726,98.176,16.117,28.153,44.43,6.301,29.63,16.277,49.206,181.147,-0.455,344.013,514.214
115,Sub-Saharan Africa,,,1991,SDG region,510704.646,23.357,98.204,16.124,27.712,44.114,6.239,29.599,16.402,48.942,183.097,-0.652,346.738,518.399
116,Sub-Saharan Africa,,,1992,SDG region,524576.232,23.992,98.167,16.127,27.356,43.753,6.175,29.594,16.397,48.807,181.545,-0.841,348.905,522.561
117,Sub-Saharan Africa,,,1993,SDG region,538716.134,24.638,98.079,16.123,27.394,43.48,6.111,29.552,16.086,49.111,176.379,-0.746,345.403,520.648
118,Sub-Saharan Africa,,,1994,SDG region,552885.367,25.286,98.008,16.147,26.224,43.141,6.045,29.527,16.917,47.504,175.393,-0.961,371.038,556.494
119,Sub-Saharan Africa,,,1995,SDG region,567561.546,25.958,97.934,16.185,27.366,43.055,5.993,29.497,15.689,49.531,171.486,-0.283,338.389,516.008
120,Sub-Saharan Africa,,,1996,SDG region,582883.181,26.658,97.851,16.198,27.121,42.763,5.925,29.442,15.642,49.477,169.277,-0.945,339.704,519.584
121,Sub-Saharan Africa,,,1997,SDG region,598210.804,27.359,97.83,16.221,26.864,42.324,5.855,29.434,15.46,49.632,165.987,-1.156,338.056,519.44
122,Sub-Saharan Africa,,,1998,SDG region,613813.684,28.073,97.873,16.273,26.391,41.981,5.798,29.44,15.59,49.277,164.54,-0.634,343.99,528.39
123,Sub-Saharan Africa,,,1999,SDG region,629930.856,28.81,97.909,16.336,26.827,41.907,5.759,29.393,15.08,49.975,157.588,-0.78,334.7,519.842
124,Sub-Saharan Africa,,,2000,SDG region,646634.396,29.574,97.96,16.394,27.035,41.704,5.719,29.408,14.669,50.58,152.509,-0.775,326.518,511.429
125,Sub-Saharan Africa,,,2001,SDG region,663976.422,30.367,98.024,16.449,27.097,41.544,5.684,29.402,14.447,50.847,147.101,-0.46,323.28,510.426
126,Sub-Saharan Africa,,,2002,SDG region,681923.577,31.188,98.094,16.504,27.158,41.321,5.645,29.419,14.163,51.241,141.859,-0.48,318.178,506.193
127,Sub-Saharan Africa,,,2003,SDG region,700432.192,32.035,98.176,16.559,27.281,41.082,5.604,29.434,13.801,51.762,136.163,-0.427,311.299,500.218
128,Sub-Saharan Africa,,,2004,SDG region,719579.143,32.91,98.26,16.614,27.469,40.895,5.567,29.426,13.426,52.327,130.588,-0.412,303.558,492.839
129,Sub-Saharan Africa,,,2005,SDG region,739328.104,33.814,98.339,16.664,27.734,40.774,5.539,29.407,13.04,52.944,125.1,-0.668,294.854,484.093
130,Sub-Saharan Africa,,,2006,SDG region,759698.945,34.745,98.418,16.708,27.908,40.551,5.507,29.43,12.643,53.599,119.974,-0.647,285.454,474.291
131,Sub-Saharan Africa,,,2007,SDG region,780789.061,35.71,98.498,16.75,28.013,40.275,5.468,29.452,12.262,54.224,115.067,-0.54,276.64,464.9
132,Sub-Saharan Africa,,,2008,SDG region,802574.851,36.706,98.571,16.788,28.202,40.088,5.436,29.438,11.886,54.866,110.448,-0.666,267.764,454.876
133,Sub-Saharan Africa,,,2009,SDG region,824969.548,37.73,98.634,16.827,28.222,39.68,5.372,29.414,11.458,55.606,105.907,-0.747,257.494,442.752
134,Sub-Saharan Africa,,,2010,SDG region,848119.495,38.789,98.695,16.87,28.206,39.301,5.306,29.354,11.095,56.258,102.161,-0.363,248.674,431.331
135,Sub-Saharan Africa,,,2011,SDG region,871958.933,39.879,98.756,16.913,28.204,38.906,5.236,29.279,10.702,56.985,98.248,-0.629,238.722,418.636
136,Sub-Saharan Africa,,,2012,SDG region,896294.133,40.992,98.815,16.955,28.013,38.381,5.158,29.251,10.368,57.59,94.694,-0.563,231.139,408.443
137,Sub-Saharan Africa,,,2013,SDG region,921259.571,42.134,98.874,17.004,27.784,37.851,5.08,29.221,10.067,58.14,91.662,-0.312,223.662,399.074
138,Sub-Saharan Africa,,,2014,SDG region,946689.963,43.297,98.938,17.064,27.563,37.376,5.007,29.179,9.813,58.602,88.935,-0.593,217.824,391.264
139,Sub-Saharan Africa,,,2015,SDG region,972747.512,44.489,99.024,17.128,27.329,36.921,4.947,29.194,9.592,59.012,86.251,-0.018,212.517,384.489
140,Sub-Saharan Africa,,,2016,SDG region,999030.494,45.691,99.079,17.188,27.134,36.463,4.883,29.195,9.329,59.52,83.573,-1.133,206.385,376.117
141,Sub-Saharan Africa,,,2017,SDG region,1025491.296,46.901,99.109,17.25,26.957,36.088,4.829,29.186,9.131,59.918,81.073,-0.713,201.526,369.516
142,Sub-Saharan Africa,,,2018,SDG region,1052727.869,48.147,99.156,17.329,26.813,35.749,4.778,29.164,8.936,60.321,78.63,-0.659,196.586,363.107
143,Sub-Saharan Africa,,,2019,SDG region,1080677.346,49.425,99.196,17.42,26.673,35.423,4.723,29.126,8.75,60.725,76.365,-0.448,191.946,356.467
144,Sub-Saharan Africa,,,2020,SDG region,1109259.46,50.733,99.233,17.517,26.101,35.01,4.656,29.096,8.909,60.312,73.856,-0.133,186.177,361.348
145,Sub-Saharan Africa,,,2021,SDG region,1137938.708,52.044,99.264,17.613,25.454,34.648,4.591,29.068,9.194,59.669,71.922,-0.376,186.679,373.439
146,Northern Africa and Western Asia,,,1950,SDG region,101436.857,8.129,100.787,19.125,23.672,47.958,6.55,29.109,24.286,41.584,326.581,-0.257,441.916,580.634
147,Northern Africa and Western Asia,,,1951,SDG region,103872.012,8.324,100.79,19.111,24.049,48.051,6.559,29.104,24.002,42.039,319.51,-0.04,435.573,575.431
148,Northern Africa and Western Asia,,,1952,SDG region,106450.023,8.531,100.718,19.08,24.863,48.212,6.589,29.109,23.349,42.944,310.142,0.14,423.493,563.793
149,Northern Africa and Western Asia,,,1953,SDG region,109158.704,8.748,100.829,19.026,25.34,48.169,6.598,29.112,22.829,43.469,301.835,-0.106,416.893,556.594
150,Northern Africa and Western Asia,,,1954,SDG region,111924.978,8.969,101.034,18.96,25.298,47.916,6.582,29.118,22.618,43.969,293.382,-0.486,411.66,553.089
