,Nombre,ISO3,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Bermuda,BMU,37.142,37.541,37.91,38.297,38.708,39.136,39.63,40.198,40.798,41.398,42.026,42.889,43.926,44.95,45.996,47.074,48.133,49.142,50.148,51.136,52.019,52.539,52.743,52.925,53.102,53.256,53.373,53.434,53.462,53.456,53.565,53.907,54.338,54.765,55.197,55.611,55.995,56.367,56.74,57.111,57.47,57.874,58.322,58.739,59.111,59.465,59.84,60.227,60.603,60.981,61.371,61.763,62.139,62.468,62.74,62.959,63.081,63.156,63.258,63.353,63.447,63.533,63.56,63.506,63.355,63.144,63.068,63.275,63.571,63.812,64.031,64.185
23,Bhutan,BTN,176.367,179.833,183.545,187.481,191.638,196.014,200.607,205.425,210.468,215.741,221.266,227.071,233.417,240.268,247.444,255.01,262.976,271.339,280.102,289.296,298.894,308.837,319.128,329.8,340.842,352.269,364.119,376.387,389.072,402.063,415.257,428.641,442.201,456.033,470.165,484.528,499.151,514.026,529.051,544.209,558.442,567.71,545.944,520.838,521.26,527.536,537.494,546.865,557.143,570.99,587.207,603.234,619.048,634.627,649.991,663.323,673.26,681.614,689.737,697.678,705.516,713.331,721.145,728.889,736.357,743.274,749.761,756.121,762.096,767.459,772.506,777.486
24,Bolivia (Plurinational State of),BOL,3089.843,3136.895,3186.943,3240.439,3297.544,3357.923,3421.566,3488.3,3558.666,3632.171,3707.515,3784.744,3864.14,3945.729,4029.472,4115.511,4204.065,4295.269,4389.249,4486.098,4585.693,4688.267,4793.804,4902.248,5013.765,5127.776,5244.355,5363.917,5486.132,5610.38,5736.088,5862.99,5991.118,6120.62,6251.926,6385.63,6521.983,6661.434,6804.072,6949.139,7096.194,7244.891,7394.419,7544.489,7693.722,7841.471,7989.367,8137.619,8286.928,8439.052,8592.656,8746.084,8900.583,9057.378,9216.279,9377.388,9542.663,9711.152,9880.593,10051.317,10223.27,10396.246,10569.697,10743.349,10916.987,11090.085,11263.015,11435.533,11606.905,11777.315,11936.162,12079.472
25,"Bonaire, Sint Eustatius and Saba",BES,6.989,7.01,7.069,7.168,7.381,7.527,7.518,7.523,7.55,7.596,7.678,7.798,7.937,8.098,8.281,8.482,8.697,8.93,9.177,9.428,9.681,9.931,10.156,10.329,10.48,10.646,10.822,11.001,11.184,11.363,11.543,11.694,11.791,11.878,11.97,12.063,12.156,12.258,12.365,12.481,12.604,12.726,12.842,12.95,13.07,13.206,13.348,13.495,13.646,13.8,13.96,14.241,14.754,15.391,16.05,16.724,17.405,18.097,18.8,19.512,20.224,20.873,21.445,22.003,22.57,23.164,23.77,24.366,24.97,25.57,26.153,26.706
26,Bosnia and Herzegovina,BIH,2692.907,2738.117,2787.378,2841.474,2899.026,2958.43,3018.301,3078.137,3138.472,3200.048,3262.539,3325.333,3387.512,3448.532,3507.959,3565.517,3620.849,3673.367,3723.067,3770.376,3815.561,3859.242,3901.895,3943.152,3983.063,4022.09,4060.039,4096.516,4131.521,4165.511,4199.82,4235.97,4274.013,4312.521,4349.597,4383.306,4413.374,4440.3,4463.32,4481.23,4494.31,4502.386,4275.73,3942.981,3762.33,3750.527,3907.751,4047.748,4115.059,4153.014,4179.35,4194.932,4198.41,4183.757,4142.86,4094.297,4058.086,4007.876,3943.392,3877.75,3811.088,3743.142,3674.374,3617.559,3571.068,3524.324,3480.986,3440.027,3400.129,3360.711,3318.407,3270.943
27,Botswana,BWA,413.481,422.885,432.592,442.483,452.263,461.88,471.466,481.225,491.313,501.837,512.865,524.403,536.428,549.041,562.274,570.975,574.855,578.723,582.655,586.737,592.244,604.139,626.601,657.246,691.569,727.93,766.424,806.968,849.394,893.5,938.578,982.747,1023.009,1060.717,1099.17,1138.704,1179.263,1220.361,1261.272,1301.671,1341.474,1380.584,1420.695,1462.262,1503.544,1543.634,1582.169,1619.354,1655.699,1691.558,1726.985,1761.93,1795.13,1826.863,1859.085,1892.807,1928.704,1966.977,2007.32,2048.997,2091.664,2134.037,2175.425,2217.278,2260.376,2305.171,2352.416,2401.84,2451.409,2499.702,2546.402,2588.423
28,Brazil,BRA,53955.359,55591.058,57283.338,59025.679,60827.59,62701.031,64644.887,66660.892,68735.926,70880.82,73092.515,75330.008,77599.218,79915.555,82262.794,84623.747,86979.283,89323.288,91659.246,94000.381,96369.875,98766.288,101194.394,103666.904,106167.372,108700.515,111286.504,113939.886,116664.382,119447.303,122288.383,125168.06,128065.095,130977.37,133888.775,136783.18,139643.355,142466.264,145253.973,148003.411,150706.446,153336.445,155900.79,158440.875,160980.472,163515.328,166037.122,168546.707,171039.804,173486.281,175873.72,178211.881,180476.685,182629.278,184722.043,186797.334,188820.682,190779.453,192672.317,194517.549,196353.492,198185.302,199977.707,201721.767,203459.65,205188.205,206859.578,208504.96,210166.592,211782.878,213196.304,214326.223
29,British Virgin Islands,VGB,7.358,7.364,7.37,7.411,7.47,7.516,7.546,7.59,7.663,7.765,7.85,7.885,7.902,7.919,7.949,8.018,8.139,8.337,8.649,9.117,9.581,9.813,9.907,10.018,10.146,10.282,10.428,10.578,10.727,10.876,11.109,11.472,11.889,12.315,12.753,13.202,13.656,14.117,14.593,15.091,15.617,16.09,16.476,16.855,17.255,17.674,18.12,18.591,19.079,19.586,20.104,20.657,21.288,21.982,22.715,23.497,24.323,25.191,26.115,27.044,27.556,27.962,28.421,28.657,28.971,29.366,29.739,30.06,30.335,30.61,30.91,31.122
30,Brunei Darussalam,BRN,48.269,51.093,54.022,57.177,60.591,64.267,68.204,72.376,76.689,81.046,85.346,89.561,93.837,98.277,102.904,107.686,112.597,117.628,122.764,128.012,133.343,138.666,143.886,149.065,154.314,159.653,165.064,170.56,176.176,181.951,187.921,194.099,200.63,207.523,214.682,222.119,229.815,237.712,245.729,253.821,261.928,269.86,277.416,284.713,291.935,299.097,306.196,313.215,320.152,327.045,333.926,340.748,347.463,354.045,360.461,366.717,372.808,378.748,384.568,390.311,396.053,401.506,406.634,411.702,416.656,421.437,425.994,430.276,434.274,438.048,441.725,445.373
31,Bulgaria,BGR,7157.632,7228.734,7293.468,7362.708,7439.598,7517.922,7596.096,7672.059,7749.341,7820.753,7891.756,7969.342,8040.772,8108.153,8177.721,8245.072,8308.899,8369.836,8438.288,8512.919,8582.95,8646.26,8700.153,8753.489,8810.675,8860.971,8902.474,8935.452,8958.267,8974.427,8980.606,8978.412,8970.485,8956.433,8939.49,8917.076,8892.1,8865.755,8835.815,8804.43,8767.778,8721.66,8668.54,8611.535,8548.466,8477.579,8401.376,8318.966,8234.927,8162.301,8097.691,8034.86,7974.81,7917.739,7865.316,7815.221,7766.036,7719.035,7674.913,7634.735,7592.273,7543.13,7488.344,7431.167,7372.141,7309.253,7245.975,7182.428,7117.431,7052.532,6979.175,6885.868
